Ligand1,Ligand2,Tanimoto
MGYG000000147_3.region003.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.043010752688172046
MGYG000000147_3.region003.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.06060606060606061
MGYG000000147_3.region003.gbk cyclic,MGYG000002490_25.region001.gbk,0.12903225806451613
MGYG000000147_3.region003.gbk cyclic,MGYG000002490_29.region001.gbk,0.3191489361702128
MGYG000000147_3.region003.gbk cyclic,MGYG000002817_16.region001.gbk,0.2621359223300971
MGYG000000147_4.region001.gbk cyclic,MGYG000000150_49.region001.gbk cyclic,0.29508196721311475
MGYG000000147_4.region001.gbk cyclic,MGYG000000227_4.region001.gbk cyclic,0.2619047619047619
MGYG000000147_4.region001.gbk cyclic,MGYG000001120_24.region001.gbk cyclic,0.2903225806451613
MGYG000000147_4.region001.gbk cyclic,MGYG000002337_1.region002.gbk linear,0.2571428571428571
MGYG000000147_4.region001.gbk cyclic,MGYG000002437_2.region003.gbk linear,0.2345679012345679
MGYG000000147_4.region001.gbk cyclic,MGYG000002620_4.region001.gbk cyclic,0.24285714285714285
MGYG000000147_4.region001.gbk cyclic,MGYG000003214_73.region001.gbk cyclic,0.30434782608695654
MGYG000000147_4.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.3442622950819672
MGYG000000147_4.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.29508196721311475
MGYG000000147_4.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.2833333333333333
MGYG000000147_4.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.3472222222222222
MGYG000000147_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.056338028169014086
MGYG000000147_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.015625
MGYG000000147_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.016666666666666666
MGYG000000147_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.014705882352941176
MGYG000000147_4.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.1694915254237288
MGYG000000147_4.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.4666666666666667
MGYG000000147_4.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.46875
MGYG000000150_49.region001.gbk cyclic,MGYG000000227_4.region001.gbk cyclic,0.29508196721311475
MGYG000000150_49.region001.gbk cyclic,MGYG000001120_24.region001.gbk cyclic,0.6060606060606061
MGYG000000150_49.region001.gbk cyclic,MGYG000002337_1.region002.gbk linear,0.32608695652173914
MGYG000000150_49.region001.gbk cyclic,MGYG000002437_2.region003.gbk linear,0.30357142857142855
MGYG000000150_49.region001.gbk cyclic,MGYG000002620_4.region001.gbk cyclic,0.3953488372093023
MGYG000000150_49.region001.gbk cyclic,MGYG000003214_73.region001.gbk cyclic,0.575
MGYG000000150_49.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.34146341463414637
MGYG000000150_49.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,1.0
MGYG000000150_49.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.9230769230769231
MGYG000000150_49.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.48936170212765956
MGYG000000150_49.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.09090909090909091
MGYG000000150_49.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.02702702702702703
MGYG000000150_49.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.030303030303030304
MGYG000000150_49.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.05
MGYG000000150_49.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.23529411764705882
MGYG000000150_49.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.32608695652173914
MGYG000000150_49.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.28846153846153844
MGYG000000227_4.region001.gbk cyclic,MGYG000001120_24.region001.gbk cyclic,0.23076923076923078
MGYG000000227_4.region001.gbk cyclic,MGYG000002337_1.region002.gbk linear,0.31343283582089554
MGYG000000227_4.region001.gbk cyclic,MGYG000002437_2.region003.gbk linear,0.35135135135135137
MGYG000000227_4.region001.gbk cyclic,MGYG000002620_4.region001.gbk cyclic,0.4032258064516129
MGYG000000227_4.region001.gbk cyclic,MGYG000003214_73.region001.gbk cyclic,0.25
MGYG000000227_4.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.20588235294117646
MGYG000000227_4.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.29508196721311475
MGYG000000227_4.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.2833333333333333
MGYG000000227_4.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.22784810126582278
MGYG000000227_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.13636363636363635
MGYG000000227_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.08333333333333333
MGYG000000227_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.05172413793103448
MGYG000000227_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.09523809523809523
MGYG000000227_4.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.15
MGYG000000227_4.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.31343283582089554
MGYG000000227_4.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.3055555555555556
MGYG000001120_24.region001.gbk cyclic,MGYG000002337_1.region002.gbk linear,0.55
MGYG000001120_24.region001.gbk cyclic,MGYG000002437_2.region003.gbk linear,0.2542372881355932
MGYG000001120_24.region001.gbk cyclic,MGYG000002620_4.region001.gbk cyclic,0.32608695652173914
MGYG000001120_24.region001.gbk cyclic,MGYG000003214_73.region001.gbk cyclic,0.4222222222222222
MGYG000001120_24.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.3333333333333333
MGYG000001120_24.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.6060606060606061
MGYG000001120_24.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.6451612903225806
MGYG000001120_24.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.42
MGYG000001120_24.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.08888888888888889
MGYG000001120_24.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.02631578947368421
MGYG000001120_24.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.029411764705882353
MGYG000001120_24.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.023809523809523808
MGYG000001120_24.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.34375
MGYG000001120_24.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.34782608695652173
MGYG000001120_24.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.3076923076923077
MGYG000002337_1.region002.gbk linear,MGYG000002437_2.region003.gbk linear,0.30158730158730157
MGYG000002337_1.region002.gbk linear,MGYG000002620_4.region001.gbk cyclic,0.6046511627906976
MGYG000002337_1.region002.gbk linear,MGYG000003214_73.region001.gbk cyclic,0.2631578947368421
MGYG000002337_1.region002.gbk linear,MGYG000003687_53.region001.gbk cyclic,0.28
MGYG000002337_1.region002.gbk linear,MGYG000003715_17.region001.gbk linear,0.32608695652173914
MGYG000002337_1.region002.gbk linear,MGYG000004678_11.region001.gbk cyclic,0.3409090909090909
MGYG000002337_1.region002.gbk linear,MGYG000004779_3.region001.gbk cyclic,0.27419354838709675
MGYG000002337_1.region002.gbk linear,MGYG000000006_9.region001.gbk_chalcone,0.14
MGYG000002337_1.region002.gbk linear,MGYG000000006_9.region001.gbk_resorcinol,0.14634146341463414
MGYG000002337_1.region002.gbk linear,MGYG000000006_9.region001.gbk_phloroglucinol,0.13157894736842105
MGYG000002337_1.region002.gbk linear,MGYG000000006_9.region001.gbk_pyrone,0.0851063829787234
MGYG000002337_1.region002.gbk linear,MGYG000002490_25.region001.gbk,0.275
MGYG000002337_1.region002.gbk linear,MGYG000002490_29.region001.gbk,0.2962962962962963
MGYG000002337_1.region002.gbk linear,MGYG000002817_16.region001.gbk,0.26666666666666666
MGYG000002437_2.region003.gbk linear,MGYG000002620_4.region001.gbk cyclic,0.3728813559322034
MGYG000002437_2.region003.gbk linear,MGYG000003214_73.region001.gbk cyclic,0.4
MGYG000002437_2.region003.gbk linear,MGYG000003687_53.region001.gbk cyclic,0.288135593220339
MGYG000002437_2.region003.gbk linear,MGYG000003715_17.region001.gbk linear,0.30357142857142855
MGYG000002437_2.region003.gbk linear,MGYG000004678_11.region001.gbk cyclic,0.3148148148148148
MGYG000002437_2.region003.gbk linear,MGYG000004779_3.region001.gbk cyclic,0.3787878787878788
MGYG000002437_2.region003.gbk linear,MGYG000000006_9.region001.gbk_chalcone,0.15
MGYG000002437_2.region003.gbk linear,MGYG000000006_9.region001.gbk_resorcinol,0.09259259259259259
MGYG000002437_2.region003.gbk linear,MGYG000000006_9.region001.gbk_phloroglucinol,0.057692307692307696
MGYG000002437_2.region003.gbk linear,MGYG000000006_9.region001.gbk_pyrone,0.10526315789473684
MGYG000002437_2.region003.gbk linear,MGYG000002490_25.region001.gbk,0.14545454545454545
MGYG000002437_2.region003.gbk linear,MGYG000002490_29.region001.gbk,0.22388059701492538
MGYG000002437_2.region003.gbk linear,MGYG000002817_16.region001.gbk,0.2054794520547945
MGYG000002620_4.region001.gbk cyclic,MGYG000003214_73.region001.gbk cyclic,0.42
MGYG000002620_4.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.2857142857142857
MGYG000002620_4.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.3953488372093023
MGYG000002620_4.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.4146341463414634
MGYG000002620_4.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.3684210526315789
MGYG000002620_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.14285714285714285
MGYG000002620_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.15
MGYG000002620_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.13513513513513514
MGYG000002620_4.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.08695652173913043
MGYG000002620_4.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.19047619047619047
MGYG000002620_4.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.2545454545454545
MGYG000002620_4.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.25
MGYG000003214_73.region001.gbk cyclic,MGYG000003687_53.region001.gbk cyclic,0.375
MGYG000003214_73.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.575
MGYG000003214_73.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.525
MGYG000003214_73.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.7608695652173914
MGYG000003214_73.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.07272727272727272
MGYG000003214_73.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.020833333333333332
MGYG000003214_73.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.022727272727272728
MGYG000003214_73.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.019230769230769232
MGYG000003214_73.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.17777777777777778
MGYG000003214_73.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.2857142857142857
MGYG000003214_73.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.23809523809523808
MGYG000003687_53.region001.gbk cyclic,MGYG000003715_17.region001.gbk linear,0.34146341463414637
MGYG000003687_53.region001.gbk cyclic,MGYG000004678_11.region001.gbk cyclic,0.358974358974359
MGYG000003687_53.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.35185185185185186
MGYG000003687_53.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.0851063829787234
MGYG000003687_53.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.025
MGYG000003687_53.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.027777777777777776
MGYG000003687_53.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.022727272727272728
MGYG000003687_53.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.36363636363636365
MGYG000003687_53.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.28
MGYG000003687_53.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.32075471698113206
MGYG000003715_17.region001.gbk linear,MGYG000004678_11.region001.gbk cyclic,0.9230769230769231
MGYG000003715_17.region001.gbk linear,MGYG000004779_3.region001.gbk cyclic,0.48936170212765956
MGYG000003715_17.region001.gbk linear,MGYG000000006_9.region001.gbk_chalcone,0.09090909090909091
MGYG000003715_17.region001.gbk linear,MGYG000000006_9.region001.gbk_resorcinol,0.02702702702702703
MGYG000003715_17.region001.gbk linear,MGYG000000006_9.region001.gbk_phloroglucinol,0.030303030303030304
MGYG000003715_17.region001.gbk linear,MGYG000000006_9.region001.gbk_pyrone,0.05
MGYG000003715_17.region001.gbk linear,MGYG000002490_25.region001.gbk,0.23529411764705882
MGYG000003715_17.region001.gbk linear,MGYG000002490_29.region001.gbk,0.32608695652173914
MGYG000003715_17.region001.gbk linear,MGYG000002817_16.region001.gbk,0.28846153846153844
MGYG000004678_11.region001.gbk cyclic,MGYG000004779_3.region001.gbk cyclic,0.44680851063829785
MGYG000004678_11.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.09523809523809523
MGYG000004678_11.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.02857142857142857
MGYG000004678_11.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.03225806451612903
MGYG000004678_11.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.05263157894736842
MGYG000004678_11.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.25
MGYG000004678_11.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.3111111111111111
MGYG000004678_11.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.3
MGYG000004779_3.region001.gbk cyclic,MGYG000000006_9.region001.gbk_chalcone,0.06451612903225806
MGYG000004779_3.region001.gbk cyclic,MGYG000000006_9.region001.gbk_resorcinol,0.01818181818181818
MGYG000004779_3.region001.gbk cyclic,MGYG000000006_9.region001.gbk_phloroglucinol,0.0196078431372549
MGYG000004779_3.region001.gbk cyclic,MGYG000000006_9.region001.gbk_pyrone,0.01694915254237288
MGYG000004779_3.region001.gbk cyclic,MGYG000002490_25.region001.gbk,0.2
MGYG000004779_3.region001.gbk cyclic,MGYG000002490_29.region001.gbk,0.3620689655172414
MGYG000004779_3.region001.gbk cyclic,MGYG000002817_16.region001.gbk,0.3492063492063492
MGYG000000006_9.region001.gbk_chalcone,MGYG000000006_9.region001.gbk_resorcinol,0.1724137931034483
MGYG000000006_9.region001.gbk_chalcone,MGYG000000006_9.region001.gbk_phloroglucinol,0.1111111111111111
MGYG000000006_9.region001.gbk_chalcone,MGYG000000006_9.region001.gbk_pyrone,0.1875
MGYG000000006_9.region001.gbk_chalcone,MGYG000002490_25.region001.gbk,0.11764705882352941
MGYG000000006_9.region001.gbk_chalcone,MGYG000002490_29.region001.gbk,0.07547169811320754
MGYG000000006_9.region001.gbk_chalcone,MGYG000002817_16.region001.gbk,0.06779661016949153
MGYG000000006_9.region001.gbk_resorcinol,MGYG000000006_9.region001.gbk_phloroglucinol,0.5384615384615384
MGYG000000006_9.region001.gbk_resorcinol,MGYG000000006_9.region001.gbk_pyrone,0.16666666666666666
MGYG000000006_9.region001.gbk_resorcinol,MGYG000002490_25.region001.gbk,0.037037037037037035
MGYG000000006_9.region001.gbk_resorcinol,MGYG000002490_29.region001.gbk,0.044444444444444446
MGYG000000006_9.region001.gbk_resorcinol,MGYG000002817_16.region001.gbk,0.019230769230769232
MGYG000000006_9.region001.gbk_phloroglucinol,MGYG000000006_9.region001.gbk_pyrone,0.09090909090909091
MGYG000000006_9.region001.gbk_phloroglucinol,MGYG000002490_25.region001.gbk,0.043478260869565216
MGYG000000006_9.region001.gbk_phloroglucinol,MGYG000002490_29.region001.gbk,0.04878048780487805
MGYG000000006_9.region001.gbk_phloroglucinol,MGYG000002817_16.region001.gbk,0.020833333333333332
MGYG000000006_9.region001.gbk_pyrone,MGYG000002490_25.region001.gbk,0.03225806451612903
MGYG000000006_9.region001.gbk_pyrone,MGYG000002490_29.region001.gbk,0.02
MGYG000000006_9.region001.gbk_pyrone,MGYG000002817_16.region001.gbk,0.017857142857142856
MGYG000002490_25.region001.gbk,MGYG000002490_29.region001.gbk,0.21428571428571427
MGYG000002490_25.region001.gbk,MGYG000002817_16.region001.gbk,0.1875
MGYG000002490_29.region001.gbk,MGYG000002817_16.region001.gbk,0.4339622641509434
